"Format name"	"Starting value for format"	"Ending value for format"	"Format value label"
PROD	971	971	971 - WALLPAPER STEAMERS
PROD	972	972	972 - PAINT OR VARNISH REMOVERS, PAINTBRUSH CLEANERS
PROD	973	973	973 - LIQUID ROOM DEODORIZERS OR FRESHENERS
PROD	974	974	974 - SOLID ROOM DEODORIZERS OR FRESHENERS
PROD	975	975	975 - ROOM DEODORIZERS OR FRESHENERS, NOT SPECIFIED
PROD	976	976	976 - DETERGENTS, NOT SPECIFIED
PROD	977	977	977 - SPOT REMOVERS OR CLEANING FLUIDS
PROD	978	978	978 - AUTOMOTIVE WAXES, POLISHES OR CLEANERS
PROD	979	979	979 - DISHWASHING LIQUID
PROD	980	980	980 - FUEL STORAGE TANKS
PROD	981	981	981 - GASOLINE CANS
PROD	982	982	982 - SCHOOL LABORATORY CHEMICALS
PROD	983	983	983 - SOAPS (EXCL. LAUNDRY SOAPS OR DETERGENTS)
PROD	984	984	984 - SOLVENTS, OTHER OR NOT SPECIFIED
PROD	1001	1001	1001 - ELECTRIC FENCES
PROD	1002	1002	1002 - HOME PASTEURIZERS
PROD	1003	1003	1003 - CREAM SEPARATORS
PROD	1004	1004	1004 - FARM TRACTORS
PROD	1005	1005	1005 - POWER TAKE-OFFS
PROD	1006	1006	1006 - FARM TILLAGE EQUIPMENT
PROD	1009	1009	1009 - COMBINES OR THRESHING MACHINES
PROD	1011	1011	1011 - FARM ELEVATORS OR CONVEYORS
PROD	1012	1012	1012 - FARM WAGONS
PROD	1014	1014	1014 - FARM SPRAYERS
PROD	1015	1015	1015 - IRRIGATION EQUIPMENT
PROD	1016	1016	1016 - FEED GRINDERS, MIXERS OR BLENDERS
PROD	1017	1017	1017 - MILKING MACHINES
PROD	1018	1018	1018 - TOW CHAINS, CABLES OR HEAVY-DUTY CHAINS
PROD	1019	1019	1019 - POST-HOLE AUGERS
PROD	1021	1021	1021 - FARM MOWERS
PROD	1022	1022	1022 - TILLAGE EQUIPMENT, NOT SPECIFIED
PROD	1023	1023	1023 - FERTILIZERS, NOT SPECIFIED
PROD	1025	1025	1025 - ENDGATE SEEDERS
PROD	1026	1026	1026 - OTHER CROP PROCESSING EQUIPMENT
PROD	1030	1030	1030 - FORAGE HARVESTERS
PROD	1036	1036	1036 - MANURE SPREADERS
PROD	1037	1037	1037 - PUMP JACKS
PROD	1038	1038	1038 - POST-HOLE DRIVERS
PROD	1039	1039	1039 - FERTILIZER DISTRIBUTORS (GRANULAR)
PROD	1040	1040	1040 - RAKES (FARM MACHINERY)
PROD	1042	1042	1042 - WINDROWERS OR SWATHERS
PROD	1043	1043	1043 - CROP CHOPPERS
PROD	1044	1044	1044 - FORK LIFTS OR LIFT TRUCKS
PROD	1052	1052	1052 - STANCHIONS
PROD	1053	1053	1053 - FERTILIZERS AND OTHER CHEMICALS FOR OUTDOOR USE
PROD	1054	1054	1054 - OTHER PLANTING EQUIPMENT
PROD	1055	1055	1055 - HAY PROCESSING EQUIPMENT
PROD	1056	1056	1056 - TOBACCO STRINGERS, HARVESTERS OR SLEDS
PROD	1057	1057	1057 - CROP PICKERS
PROD	1058	1058	1058 - CORN PLANTERS OR GRAIN DRILLS
PROD	1059	1059	1059 - SILO LOADERS AND UNLOADERS, SCREW OR SWEEP AUGERS
PROD	1060	1060	1060 - PLANTING EQUIPMENT, NOT SPECIFIED
PROD	1061	1061	1061 - CROP PROCESSING EQUIPMENT, NOT SPECIFIED
PROD	1062	1062	1062 - TRACTORS, OTHER OR NOT SPECIFIED, N.O.S.
PROD	1102	1102	1102 - VACUUM CONTAINERS
PROD	1103	1103	1103 - SELF-CONTAINED OPENERS
PROD	1107	1107	1107 - OTHER CONTAINERS
PROD	1112	1112	1112 - METAL CONTAINERS
PROD	1114	1114	1114 - CARDBOARD PRODUCTS
PROD	1116	1116	1116 - CONTAINERS WITH KEY OPENERS
PROD	1120	1120	1120 - GLASS SOFT DRINK BOTTLES
PROD	1122	1122	1122 - GLASS ALCOHOLIC BEVERAGE BOTTLES
PROD	1123	1123	1123 - PLASTIC CONTAINERS (RIGID OR SEMI-RIGID)
PROD	1124	1124	1124 - GLASS TUBING OR TEST TUBES
PROD	1125	1125	1125 - WOODEN CONTAINERS
PROD	1127	1127	1127 - NONGLASS BOTTLES OR JARS
PROD	1128	1128	1128 - PAPER BAGS
PROD	1130	1130	1130 - PLASTIC BAGS
PROD	1131	1131	1131 - PLASTIC WRAPPING PRODUCTS
PROD	1132	1132	1132 - PLASTIC PRODUCTS, NOT SPECIFIED
PROD	1133	1133	1133 - AEROSOL CONTAINERS
PROD	1134	1134	1134 - OTHER GLASS BOTTLES OR JARS
PROD	1135	1135	1135 - BOTTLES OR JARS, NOT SPECIFIED
PROD	1136	1136	1136 - CANNING JARS
PROD	1137	1137	1137 - PAPER PRODUCTS
PROD	1138	1138	1138 - PRESSURIZED CONTAINERS (NONAEROSOL)
PROD	1139	1139	1139 - ALUMINUM FOIL WRAPPING PRODUCTS
PROD	1140	1140	1140 - GLASS BOTTLES OR JARS, NOT SPECIFIED
PROD	1141	1141	1141 - CONTAINERS, NOT SPECIFIED
PROD	1142	1142	1142 - BAGS (EXCLUDING PAPER OR PLASTIC BAGS)
PROD	1143	1143	1143 - BUCKETS OR PAILS
PROD	1144	1144	1144 - BAGS, NOT ELSEWHERE CLASSIFIED
PROD	1145	1145	1145 - OTHER SPECIFIED PLASTIC PRODUCTS
PROD	1200	1200	1200 - SPORTS AND RECREATIONAL ACTIVITY, N.E.C.
PROD	1202	1202	1202 - BICYCLES OR ACCESSORIES
PROD	1204	1204	1204 - BASEBALL, ACTIVITY AND RELATED EQUIPMENT
PROD	1205	1205	1205 - BASKETBALL, ACTIVITY AND RELATED EQUIPMENT
PROD	1206	1206	1206 - BOWLING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1207	1207	1207 - BOXING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1208	1208	1208 - CROQUET (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1211	1211	1211 - FOOTBALL (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1212	1212	1212 - GOLF (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1213	1213	1213 - GOLF CARTS, MOTORIZED VEHICLE
PROD	1215	1215	1215 - LACROSSE (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1217	1217	1217 - SLEDS
PROD	1232	1232	1232 - ELECTRIC CHARCOAL LIGHTERS
PROD	1233	1233	1233 - TRAMPOLINES
PROD	1234	1234	1234 - TREEHOUSES OR PLAYHOUSES
PROD	1235	1235	1235 - ARCHERY (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1237	1237	1237 - GAS, AIR OR SPRING-OPERATED GUNS
PROD	1239	1239	1239 - HORSEBACK RIDING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1240	1240	1240 - AQUARIUMS OR ACCESSORIES
PROD	1242	1242	1242 - SLIDES OR SLIDING BOARDS
PROD	1243	1243	1243 - SEE-SAWS OR TEETER BOARDS
PROD	1244	1244	1244 - MONKEY BARS OR OTHER PLAYGROUND CLIMBING APPARATUS
PROD	1246	1246	1246 - WADING POOLS
PROD	1247	1247	1247 - FUEL CHARCOAL LIGHTERS
PROD	1248	1248	1248 - DARTS (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1255	1255	1255 - ALCOHOL-FUELED HEATERS
PROD	1257	1257	1257 - HORSESHOES (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1258	1258	1258 - MOUNTAIN CLIMBING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1260	1260	1260 - BILLIARDS OR POOL (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1261	1261	1261 - SURFING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1264	1264	1264 - WATER SKIING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1266	1266	1266 - VOLLEYBALL (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1267	1267	1267 - SOCCER (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1268	1268	1268 - TRACK AND FIELD (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1269	1269	1269 - TABLE TENNIS (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1270	1270	1270 - WRESTLING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1271	1271	1271 - BATONS
PROD	1272	1272	1272 - GYMNASTICS AND ASSOCIATED EQUIPMENT
PROD	1273	1273	1273 - TOBOGGANS
PROD	1274	1274	1274 - SNOW DISKS
PROD	1275	1275	1275 - SCUBA DIVING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1276	1276	1276 - TETHERBALL (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1277	1277	1277 - SWIMMING POOL SLIDES
PROD	1278	1278	1278 - DIVING OR DIVING BOARDS
PROD	1279	1279	1279 - ICE HOCKEY (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1282	1282	1282 - HANDBALL (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1283	1283	1283 - UNICYCLES
PROD	1284	1284	1284 - SWIMMING POOLS, NOT SPECIFIED
PROD	1285	1285	1285 - CHARCOAL LIGHTERS, NOT SPECIFIED
PROD	1290	1290	1290 - SNOWMOBILES (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1293	1293	1293 - AMUSEMENT ATTRACTIONS (INCLUDING RIDES)
PROD	1294	1294	1294 - BLEACHERS
PROD	1295	1295	1295 - FIELD HOCKEY (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1299	1299	1299 - SNOW TUBING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	1301	1301	1301 - TRICYCLES
PROD	1306	1306	1306 - GASOLINE- OR OTHER FUEL-POWERED MODELS
PROD	1309	1309	1309 - KITES OR KITE STRING
PROD	1310	1310	1310 - POGO STICKS
PROD	1313	1313	1313 - FIREWORKS
PROD	1314	1314	1314 - ROCKETRY SETS
PROD	1317	1317	1317 - FLYING TOYS
PROD	1318	1318	1318 - UNPOWERED MODELS OR PARTS
PROD	1319	1319	1319 - METAL OR PLASTIC MOLDING SETS
PROD	1322	1322	1322 - CHILDREN'S PLAY TENTS, PLAY TUNNELS OR OTHER ENCLOSURES
PROD	1325	1325	1325 - INFLATABLE TOYS
PROD	1326	1326	1326 - BLOCKS, STACKING TOYS OR PULL TOYS
PROD	1327	1327	1327 - NONWHEELED RIDING TOYS, UNPOWERED
PROD	1328	1328	1328 - WAGONS (CHILDREN'S)
PROD	1329	1329	1329 - SCOOTERS, UNPOWERED
PROD	1330	1330	1330 - POWERED RIDING TOYS
PROD	1332	1332	1332 - ELECTRIC TRAINS OR ACCESSORIES
PROD	1333	1333	1333 - SKATEBOARDS, UNPOWERED OR UNSPECIFIED
PROD	1334	1334	1334 - ELECTRIC TOY OVENS
PROD	1335	1335	1335 - ELECTRIC TOY IRONS
PROD	1338	1338	1338 - TOY BOWS OR ARROWS
PROD	1342	1342	1342 - COSTUMES OR MASKS
PROD	1344	1344	1344 - TOY MUSICAL INSTRUMENTS
PROD	1345	1345	1345 - BUILDING SETS
PROD	1346	1346	1346 - CLACKER BALLS
PROD	1347	1347	1347 - BALLOONS (TOY)
PROD	1349	1349	1349 - STILTS
PROD	1350	1350	1350 - SQUEEZE OR SQUEAKER TOYS
PROD	1352	1352	1352 - SLINGSHOTS OR SLING-PROPELLED TOYS
PROD	1353	1353	1353 - TOY BOXES OR CHESTS
PROD	1354	1354	1354 - MARBLES
PROD	1356	1356	1356 - ENGINE FUELS FOR MODELS
PROD	1362	1362	1362 - WOODBURNING KITS
PROD	1365	1365	1365 - WATER TOYS
PROD	1376	1376	1376 - MOLDING COMPOUNDS
PROD	1381	1381	1381 - TOYS, NOT ELSEWHERE CLASSIFIED
PROD	1383	1383	1383 - ELECTRIC TOY RACING CARS OR ACCESSORIES
PROD	1389	1389	1389 - OTHER TOY WEAPONS (NONPROJECTILE)
PROD	1390	1390	1390 - TOY GUNS, NOT SPECIFIED
PROD	1392	1392	1392 - TOY SPORTS EQUIPMENT
PROD	1393	1393	1393 - CHEMISTRY SETS OR SCIENCE KITS
PROD	1394	1394	1394 - DOLLS, PLUSH TOYS, AND ACTION FIGURES
PROD	1395	1395	1395 - TOYS, NOT SPECIFIED
PROD	1398	1398	1398 - WHEELED RIDING TOYS, UNPOWERED
PROD	1399	1399	1399 - TOY GUNS WITH PROJECTILES
PROD	1401	1401	1401 - POWER LAWN MOWERS, NOT SPECIFIED
PROD	1402	1402	1402 - MANUAL PUSH MOWERS (UNPOWERED)
PROD	1403	1403	1403 - OTHER UNPOWERED GARDEN TOOLS
PROD	1404	1404	1404 - POWER LAWN TRIMMERS OR EDGERS
PROD	1405	1405	1405 - GARDEN TRACTORS
PROD	1406	1406	1406 - SNOW THROWERS, BLOWERS
PROD	1407	1407	1407 - GARDEN SPRAYERS
PROD	1408	1408	1408 - POWER TILLERS OR CULTIVATORS
PROD	1409	1409	1409 - OTHER POWER GARDEN TOOLS
PROD	1411	1411	1411 - CHAIN SAWS
PROD	1413	1413	1413 - GREENHOUSE OR GARDENING SUPPLIES
PROD	1414	1414	1414 - GARDEN HOSES, NOZZLES OR SPRINKLERS
PROD	1415	1415	1415 - MANUAL SNOW OR ICE REMOVAL TOOLS
PROD	1417	1417	1417 - DECORATIVE YARD EQUIPMENT
PROD	1422	1422	1422 - RIDING POWER LAWN MOWERS
PROD	1425	1425	1425 - WHEELBARROWS OR LAWN CARTS
PROD	1426	1426	1426 - HATCHETS OR AXES
PROD	1427	1427	1427 - POWER HEDGE TRIMMERS
PROD	1430	1430	1430 - SEED AND FERTILIZER SPREADERS
PROD	1431	1431	1431 - GRASS AND LEAF CATCHERS (ATTACHMENTS FOR LAWN MOWERS)
PROD	1432	1432	1432 - ANIMAL TRAPS
PROD	1433	1433	1433 - POWER LEAF MULCHERS AND GRINDERS
PROD	1434	1434	1434 - SNOW THROWERS OR BLOWERS (ATTACHMENTS FOR LAWN MOWERS)
PROD	1435	1435	1435 - SNOW PLOWS
PROD	1439	1439	1439 - LAWN MOWERS, NOT SPECIFIED
PROD	1441	1441	1441 - LAWN VACUUMS
PROD	1445	1445	1445 - PLANT FOODS OR FERTILIZERS FOR POTTED PLANTS
PROD	1446	1446	1446 - REEL POWER LAWN MOWERS
PROD	1447	1447	1447 - PRUNING OR TRIMMING EQUIPMENT, NOT SPECIFIED
PROD	1448	1448	1448 - ROTARY POWER LAWN MOWERS
PROD	1449	1449	1449 - MANUAL HEDGE TRIMMERS
PROD	1450	1450	1450 - MANUAL LAWN TRIMMERS OR EDGERS
PROD	1451	1451	1451 - SEEDS
PROD	1452	1452	1452 - OUTDOOR ELECTRIC LIGHTING EQUIPMENT
PROD	1453	1453	1453 - OTHER MANUAL PRUNING OR TRIMMING EQUIPMENT
PROD	1454	1454	1454 - OTHER POWER PRUNING OR TRIMMING EQUIPMENT
PROD	1455	1455	1455 - MANUAL PRUNING OR TRIMMING EQUIPMENT, NOT SPECIFIED
PROD	1456	1456	1456 - POWER PRUNING OR TRIMMING EQUIPMENT, NOT SPECIFIED
PROD	1457	1457	1457 - LOG SPLITTERS
PROD	1458	1458	1458 - SNOW THROWERS OR BLOWERS (SELF-CONTAINED UNITS)
PROD	1459	1459	1459 - SNOW THROWERS OR BLOWERS, NOT SPECIFIED
PROD	1460	1460	1460 - INSECT TRAPS, POWERED
PROD	1461	1461	1461 - LEAF BLOWERS
PROD	1462	1462	1462 - PUMPS, NOT ELSEWHERE CLASSIFIED
PROD	1463	1463	1463 - BRUSHCUTTERS, POWERED
PROD	1464	1464	1464 - LAWN TRIMMERS OR EDGERS, POWERED (EXCL. BRUSHCUTTERS)
PROD	1465	1465	1465 - DECORATIVE YARD EQUIPMENT, EXCL WATER FEATURES
PROD	1466	1466	1466 - DECORATIVE WATER FEATURES, INCL MAN-MADE PONDS & FOUNTAINS
PROD	1502	1502	1502 - BABY CHANGING TABLES
PROD	1505	1505	1505 - BABY CARRIAGES
PROD	1506	1506	1506 - BABY GATES OR BARRIERS
PROD	1508	1508	1508 - BABY WALKERS OR JUMPERS
PROD	1509	1509	1509 - BABY BOTTLES OR NIPPLES
PROD	1510	1510	1510 - BOTTLE WARMERS
PROD	1511	1511	1511 - STERILIZERS (HOME USE)
PROD	1512	1512	1512 - DIAPERS
PROD	1513	1513	1513 - PLAYPENS
PROD	1515	1515	1515 - BABY SCALES
PROD	1517	1517	1517 - BABY RATTLES
PROD	1518	1518	1518 - YOUTH CHAIRS
PROD	1519	1519	1519 - CAR SEATS (FOR INFANTS OR CHILDREN)
PROD	1520	1520	1520 - BABY EXERCISERS
PROD	1522	1522	1522 - BABY STROLLERS
PROD	1524	1524	1524 - BABY HARNESSES
PROD	1525	1525	1525 - PACIFIERS OR TEETHING RINGS
PROD	1526	1526	1526 - CRIB MOBILES OR CRIB GYMS
PROD	1527	1527	1527 - BABY CARRIERS OR SLINGS (BACKPACKS)
PROD	1528	1528	1528 - DIAPER PAILS
PROD	1529	1529	1529 - PORTABLE CRIBS
PROD	1531	1531	1531 - BABY CARRIERS (BICYCLE-MOUNTED)
PROD	1533	1533	1533 - NIGHT-LIGHTS
PROD	1534	1534	1534 - CAR BEDS FOR INFANTS
PROD	1535	1535	1535 - POTTY CHAIRS OR TRAINING SEATS
PROD	1536	1536	1536 - CRIB EXTENDER RAILS OR YOUTH BED RAILS
PROD	1537	1537	1537 - BASSINETS OR CRADLES
PROD	1539	1539	1539 - SHOELACE FASTENERS (FOR INFANTS)
PROD	1542	1542	1542 - BABY MATTRESSES OR PADS
PROD	1543	1543	1543 - NONPORTABLE CRIBS
PROD	1544	1544	1544 - BABY BATHS OR BATHINETTES
PROD	1545	1545	1545 - CRIBS, NOT SPECIFIED
PROD	1548	1548	1548 - BABY CARRIERS, NOT SPECIFIED
PROD	1549	1549	1549 - OTHER BABY CARRIERS
PROD	1550	1550	1550 - INFANT & TODDLER PLAY CTRS, EXCL JUMPERS,BOUNCERS&EXERCISERS
PROD	1551	1551	1551 - DIAPER FASTENERS
PROD	1553	1553	1553 - PORTABLE BABY SWINGS (FOR HOME USE)
PROD	1554	1554	1554 - SAFETY PINS
PROD	1555	1555	1555 - HIGH CHAIRS
PROD	1556	1556	1556 - ATTACHED HIGHCHAIR
PROD	1557	1557	1557 - BABY BATHTUB SEATS OR RINGS (NOT TOYS)
PROD	1558	1558	1558 - BABY BOUNCER SEATS (EXCL. JUMPERS)
PROD	1560	1560	1560 - BABY SLINGS AND WRAPS
PROD	1561	1561	1561 - FRAMED BABY CARRIERS (CARRIED ON THE BACK)
PROD	1562	1562	1562 - OTHER SOFT BABY CARRIERS
PROD	1597	1597	1597 - NON-POISONING DEATH OF VICTIM UNDER AGE 5 - NO PRODUCT
PROD	1598	1598	1598 - OVERLAY DEATHS
PROD	1599	1599	1599 - INFANT DEATH
PROD	1602	1602	1602 - HAIR DRYERS
PROD	1604	1604	1604 - CIGARETTE OR PIPE LIGHTERS
PROD	1605	1605	1605 - WIGS, FALLS OR HAIRPIECES
PROD	1606	1606	1606 - EYEGLASSES
PROD	1607	1607	1607 - EYE PROTECTION DEVICES
PROD	1608	1608	1608 - POWERED TOOTHBRUSHES OR ORAL IRRIGATORS
PROD	1609	1609	1609 - SUN LAMPS
PROD	1610	1610	1610 - MASSAGE DEVICES OR VIBRATORS
PROD	1612	1612	1612 - SAUNAS
PROD	1613	1613	1613 - ELECTRIC SHOE POLISHERS
PROD	1615	1615	1615 - FOOTWEAR
PROD	1616	1616	1616 - JEWELRY
PROD	1617	1617	1617 - EAR PROTECTION DEVICES
PROD	1618	1618	1618 - RESPIRATORY PROTECTION DEVICES
PROD	1619	1619	1619 - PERSONAL PROTECTION DEVICES
PROD	1620	1620	1620 - HEARING AIDS
PROD	1622	1622	1622 - WATCHES
PROD	1623	1623	1623 - LUGGAGE
PROD	1624	1624	1624 - CONTACT LENSES
PROD	1625	1625	1625 - LIGHTED MAKE-UP MIRRORS
PROD	1629	1629	1629 - NONELECTRIC TOOTHBRUSHES
PROD	1630	1630	1630 - PAPER MONEY OR COINS
PROD	1634	1634	1634 - HEAT OR INFRARED LAMPS
PROD	1635	1635	1635 - DENTURES OR FALSE TEETH
PROD	1636	1636	1636 - ORTHODONTIC BRACES
PROD	1637	1637	1637 - ELECTRIC COMBS
PROD	1638	1638	1638 - COMBS OR HAIRBRUSHES, UNPOWERED
PROD	1641	1641	1641 - CLOTHESBRUSHES
PROD	1643	1643	1643 - KEYS, KEY RINGS OR KEY CHAINS
PROD	1644	1644	1644 - NIGHTWEAR
PROD	1645	1645	1645 - DAY WEAR
PROD	1646	1646	1646 - OUTERWEAR
PROD	1647	1647	1647 - CLOTHING ACCESSORIES
PROD	1650	1650	1650 - DESK SUPPLIES
PROD	1651	1651	1651 - COMBS, NOT SPECIFIED
PROD	1654	1654	1654 - PAPER CUTTERS
PROD	1658	1658	1658 - CLOTHING, NOT SPECIFIED
PROD	1659	1659	1659 - MANICURE, PEDICURE, AND MAKE-UP BRUSHES/TOOLS
PROD	1660	1660	1660 - UMBRELLAS
PROD	1661	1661	1661 - NONELECTRIC RAZORS OR SHAVERS
PROD	1662	1662	1662 - HAIR GROOMING EQUIPMENT OR ACCESSORIES, N.S.
PROD	1664	1664	1664 - ELECTRIC RAZORS OR SHAVERS
PROD	1666	1666	1666 - TEETH CLEANING DEVICES, NOT SPECIFIED
PROD	1667	1667	1667 - RAZORS OR SHAVERS, NOT SPECIFIED
PROD	1669	1669	1669 - PINS AND NEEDLES
PROD	1671	1671	1671 - SEWING BASKET ARTICLES
PROD	1674	1674	1674 - HARD CONTACT LENSES
PROD	1675	1675	1675 - SOFT CONTACT LENSES
PROD	1676	1676	1676 - CONTACT LENSES, NOT SPECIFIED
PROD	1677	1677	1677 - OTHER CLOTHING
PROD	1678	1678	1678 - BATH OR FACIAL CLEANSING BRUSHES
PROD	1679	1679	1679 - GROCERY OR SHOPPING CARTS, UNPOWERED
PROD	1680	1680	1680 - DOLLIES, HANDTRUCKS OR LUGGAGE CARRIERS
PROD	1681	1681	1681 - SUNTAN BOOTHS
PROD	1682	1682	1682 - HAIR CURLERS, CURLING IRONS, CLIPS & HAIRPINS
PROD	1683	1683	1683 - HAIR CLIPPERS AND TRIMMERS
PROD	1684	1684	1684 - CARTS, OTHER OR NOT SPECIFIED
PROD	1685	1685	1685 - PENS AND PENCILS
PROD	1686	1686	1686 - COINS
PROD	1687	1687	1687 - LIGHTERS, NOT SPECIFIED
PROD	1688	1688	1688 - FUEL MULTI-PURPOSE LIGHTERS, INCL. MICRO-TORCHES
PROD	1689	1689	1689 - ELECTRIC MULTI-PURPOSE LIGHTERS
PROD	1690	1690	1690 - MULTI-PURPOSE LIGHTERS, NOT SPECIFIED
PROD	1701	1701	1701 - ARTIFICIAL CHRISTMAS TREES
PROD	1705	1705	1705 - ASHTRAYS
PROD	1706	1706	1706 - CRUTCHES, CANES OR WALKERS
PROD	1707	1707	1707 - WHEELCHAIRS
PROD	1708	1708	1708 - SPECIAL BEDS OR ORTHOPEDIC BEDS
PROD	1710	1710	1710 - FIRST AID EQUIPMENT
PROD	1711	1711	1711 - CHRISTMAS TREE LIGHTS
PROD	1712	1712	1712 - CHRISTMAS TREE STANDS OR SUPPORTS
PROD	1714	1714	1714 - SEASONAL DECORATIONS
PROD	1715	1715	1715 - PET SUPPLIES
PROD	1716	1716	1716 - HYPODERMIC NEEDLES OR SYRINGES
PROD	1717	1717	1717 - ORTHOPEDIC BRACES
PROD	1718	1718	1718 - FLARES
PROD	1719	1719	1719 - LUNCH BOXES OR PAILS
PROD	1720	1720	1720 - PARTY FAVORS
PROD	1724	1724	1724 - LASERS
PROD	1725	1725	1725 - CATHODE-RAY TUBES
PROD	1726	1726	1726 - LOCKERS
PROD	1727	1727	1727 - TRAFFIC CONTROL DEVICES
PROD	1728	1728	1728 - MATCHBOOKS
PROD	1729	1729	1729 - CHRISTMAS DECORATIONS (NONELECTRIC)
PROD	1730	1730	1730 - WOODEN MATCHES
PROD	1731	1731	1731 - MATCHES, NOT SPECIFIED
PROD	1732	1732	1732 - TOMBSTONES OR GRAVE MARKERS
PROD	1733	1733	1733 - VENDING MACHINES
PROD	1734	1734	1734 - MUSIC BOXES OR CHIMES
PROD	1735	1735	1735 - COIN-OPERATED CAR-WASHING EQUIPMENT
PROD	1736	1736	1736 - ELECTRIC CHRISTMAS DECORATIONS (EXCL. TREE LIGHTS)
PROD	1737	1737	1737 - HOUSEPLANTS
PROD	1738	1738	1738 - PUBLIC USE ITEMS, NOT ELSEWHERE CLASSIFIED
PROD	1739	1739	1739 - ASHTRAYS, ELECTRIC OR BATTERY OPERATED
PROD	1740	1740	1740 - ASHTRAYS, NOT ELEC. OR BATTERY OR NOT SPECIFIED
PROD	1741	1741	1741 - TARPAULINS
PROD	1742	1742	1742 - HEATING OR COOLING COMFORT PACKS (NONELECTRIC)
PROD	1743	1743	1743 - THERMOMETERS, MEDICAL
PROD	1744	1744	1744 - MOTORIZED VEHICLES, NEC (3 OR MORE WHEELS)
PROD	1803	1803	1803 - THERMAL OR SOUND INSULATION MATERIALS
PROD	1807	1807	1807 - FLOORS OR FLOORING MATERIALS
PROD	1808	1808	1808 - OUTDOOR AWNINGS OR SHUTTERS
PROD	1811	1811	1811 - BRICKS OR CONCRETE BLOCKS (NOT PART OF STRUCTURE)
PROD	1812	1812	1812 - GUTTERS, DRAINPIPES, DOWNSPOUTS OR RUN-OFF PIPES
PROD	1814	1814	1814 - ELEVATORS OR OTHER LIFTS
PROD	1816	1816	1816 - SCAFFOLDING
PROD	1817	1817	1817 - PORCHES, BALCONIES, OPEN-SIDE FLOORS OR FLOOR OPENINGS
PROD	1818	1818	1818 - CISTERNS, CESSPOOLS OR SEPTIC TANKS
PROD	1819	1819	1819 - NAILS, SCREWS, CARPET TACKS OR THUMBTACKS
PROD	1820	1820	1820 - CABINET OR DOOR HARDWARE
PROD	1821	1821	1821 - CLOTHESLINES OR CLOTHES DRYING RACKS
PROD	1823	1823	1823 - STORM DOORS WITH GLASS PANELS
PROD	1825	1825	1825 - SLIDING GLASS DOORS OR PANELS
PROD	1826	1826	1826 - STORM WINDOWS
PROD	1827	1827	1827 - SCREEN DOORS
PROD	1828	1828	1828 - WINDOW SCREENS
PROD	1829	1829	1829 - HANDRAILS, RAILINGS OR BANISTERS
PROD	1830	1830	1830 - SEPARATE GARAGES OR TOOL SHEDS
PROD	1836	1836	1836 - JALOUSIE GLASS WINDOWS
PROD	1838	1838	1838 - LUMBER, BOARDS OR PANEL PIECES (NOT PART OF STRUCTURE)
PROD	1840	1840	1840 - PULL-DOWN OR FOLDING STAIRS
PROD	1841	1841	1841 - MOBILE HOMES
PROD	1842	1842	1842 - STAIRS OR STEPS
PROD	1843	1843	1843 - RAMPS OR LANDINGS
PROD	1845	1845	1845 - PANEL DOORS (FLUSH OR SLAB)
PROD	1849	1849	1849 - DOORS, NOT SPECIFIED
PROD	1854	1854	1854 - PLASTIC PANELS FOR DOORS OR WINDOWS
PROD	1855	1855	1855 - PLASTIC PRODUCTS, NOT ELSEWHERE CLASSIFIED
PROD	1857	1857	1857 - ARTIFICIAL TURF
PROD	1858	1858	1858 - STORM DOORS WITHOUT GLASS PANELS
PROD	1863	1863	1863 - WALLPAPER
PROD	1864	1864	1864 - COUNTERS OR COUNTERTOPS
PROD	1865	1865	1865 - POLES
PROD	1866	1866	1866 - GENERAL HOME OR ROOM INVOLVEMENT IN FIRES
PROD	1867	1867	1867 - FIXED FLOOR-LENGTH GLASS PANELS
PROD	1870	1870	1870 - WINDOW SILLS OR FRAMES
PROD	1871	1871	1871 - FENCES OR FENCE POSTS
